"club","country","league","market_value","pl","w","d","l","pts","pts_per_match"
"Red Bull Salzburg","Austria","Bundesliga",222830000.0,22,17,4,1,55,2.5
"SK Sturm Graz","Austria","Bundesliga",42080000.0,22,14,6,2,48,2.18
"LASK","Austria","Bundesliga",28680000.0,22,10,8,4,38,1.73
"Rapid Vienna","Austria","Bundesliga",26780000.0,22,10,3,9,33,1.5
"Austria Vienna","Austria","Bundesliga",24030000.0,22,10,5,7,35,1.59
"Wolfsberger AC","Austria","Bundesliga",14880000.0,22,6,3,13,21,0.95
"SCR Altach","Austria","Bundesliga",11330000.0,22,4,5,13,17,0.77
"SK Austria Klagenfurt","Austria","Bundesliga",11150000.0,22,9,3,10,30,1.36
"SC Austria Lustenau","Austria","Bundesliga",9800000.0,22,7,6,9,27,1.23
"TSV Hartberg","Austria","Bundesliga",9680000.0,22,5,3,14,18,0.82
"SV Ried","Austria","Bundesliga",9580000.0,22,4,6,12,18,0.82
"WSG Tirol","Austria","Bundesliga",9100000.0,22,8,4,10,28,1.27
"Bayern Munich","Germany","Bundesliga",995700000.0,25,15,7,3,52,2.08
"Borussia Dortmund","Germany","Bundesliga",522700000.00000006,25,17,2,6,53,2.12
"RB Leipzig","Germany","Bundesliga",493300000.0,25,13,6,6,45,1.8
"Bayer 04 Leverkusen","Germany","Bundesliga",416350000.0,25,11,4,10,37,1.48
"Eintracht Frankfurt","Germany","Bundesliga",267950000.0,25,11,7,7,40,1.6
"Borussia Mönchengladbach","Germany","Bundesliga",233000000.0,25,8,7,10,31,1.24
"VfL Wolfsburg","Germany","Bundesliga",188200000.0,25,10,8,7,38,1.52
"TSG 1899 Hoffenheim","Germany","Bundesliga",170950000.0,25,6,4,15,22,0.88
"SC Freiburg","Germany","Bundesliga",161630000.0,25,13,7,5,46,1.84
"VfB Stuttgart","Germany","Bundesliga",123350000.0,25,4,8,13,20,0.8
"1.FC Union Berlin","Germany","Bundesliga",117900000.0,25,14,6,5,48,1.92
"1.FSV Mainz 05","Germany","Bundesliga",113200000.0,25,10,7,8,37,1.48
"FC Augsburg","Germany","Bundesliga",111150000.0,25,8,4,13,28,1.12
"Hertha BSC","Germany","Bundesliga",97200000.0,25,5,6,14,21,0.84
"1. FC Köln","Germany","Bundesliga",96030000.0,25,6,9,10,27,1.08
"SV Werder Bremen","Germany","Bundesliga",73050000.0,25,9,4,12,31,1.24
"FC Schalke 04","Germany","Bundesliga",60450000.0,25,4,9,12,21,0.84
"VfL Bochum","Germany","Bundesliga",46630000.0,25,8,1,16,25,1.0
"Ajax Amsterdam","Netherlands","Eredivisie",274200000.0,26,16,7,3,55,2.12
"PSV Eindhoven","Netherlands","Eredivisie",201500000.0,26,16,5,5,53,2.04
"Feyenoord Rotterdam","Netherlands","Eredivisie",182000000.0,26,18,7,1,61,2.35
"AZ Alkmaar","Netherlands","Eredivisie",107450000.0,26,16,5,5,53,2.04
"FC Utrecht","Netherlands","Eredivisie",50700000.0,26,10,8,8,38,1.46
"Twente Enschede FC","Netherlands","Eredivisie",43830000.0,26,13,8,5,47,1.81
"Vitesse Arnhem","Netherlands","Eredivisie",39680000.0,26,5,9,12,24,0.92
"SC Heerenveen","Netherlands","Eredivisie",36200000.0,26,9,7,10,34,1.31
"FC Groningen","Netherlands","Eredivisie",34150000.0,26,4,5,17,17,0.65
"Fortuna Sittard","Netherlands","Eredivisie",22330000.0,26,8,5,13,29,1.12
"NEC Nijmegen","Netherlands","Eredivisie",21680000.0,26,7,13,6,34,1.31
