Club,Country,League,Market Value,PL,W,D,L,Pts,Pts_per_match
Red Bull Salzburg,Austria,Bundesliga,222830000.0,22,17,4,1,55,2.50
SK Sturm Graz,Austria,Bundesliga,42080000.0,22,14,6,2,48,2.18
LASK,Austria,Bundesliga,28680000.0,22,10,8,4,38,1.73
Rapid Vienna,Austria,Bundesliga,26780000.0,22,10,3,9,33,1.50
Austria Vienna,Austria,Bundesliga,24030000.0,22,10,5,7,35,1.59
Wolfsberger AC,Austria,Bundesliga,14880000.0,22,6,3,13,21,0.95
SCR Altach,Austria,Bundesliga,11330000.0,22,4,5,13,17,0.77
SK Austria Klagenfurt,Austria,Bundesliga,11150000.0,22,9,3,10,30,1.36
SC Austria Lustenau,Austria,Bundesliga,9800000.0,22,7,6,9,27,1.23
TSV Hartberg,Austria,Bundesliga,9680000.0,22,5,3,14,18,0.82
SV Ried,Austria,Bundesliga,9580000.0,22,4,6,12,18,0.82
WSG Tirol,Austria,Bundesliga,9100000.0,22,8,4,10,28,1.27
