Club,Country,League,Market Value,PL,W,D,L,Pts,Pts_per_match
Bayern Munich,Germany,Bundesliga,995700000.0,25,15,7,3,52,2.08
Borussia Dortmund,Germany,Bundesliga,522700000.00000006,25,17,2,6,53,2.12
RB Leipzig,Germany,Bundesliga,493300000.0,25,13,6,6,45,1.80
Bayer 04 Leverkusen,Germany,Bundesliga,416350000.0,25,11,4,10,37,1.48
Eintracht Frankfurt,Germany,Bundesliga,267950000.0,25,11,7,7,40,1.60
Borussia Mönchengladbach,Germany,Bundesliga,233000000.0,25,8,7,10,31,1.24
VfL Wolfsburg,Germany,Bundesliga,188200000.0,25,10,8,7,38,1.52
TSG 1899 Hoffenheim,Germany,Bundesliga,170950000.0,25,6,4,15,22,0.88
SC Freiburg,Germany,Bundesliga,161630000.0,25,13,7,5,46,1.84
VfB Stuttgart,Germany,Bundesliga,123350000.0,25,4,8,13,20,0.80
1.FC Union Berlin,Germany,Bundesliga,117900000.0,25,14,6,5,48,1.92
1.FSV Mainz 05,Germany,Bundesliga,113200000.0,25,10,7,8,37,1.48
FC Augsburg,Germany,Bundesliga,111150000.0,25,8,4,13,28,1.12
Hertha BSC,Germany,Bundesliga,97200000.0,25,5,6,14,21,0.84
1. FC Köln,Germany,Bundesliga,96030000.0,25,6,9,10,27,1.08
SV Werder Bremen,Germany,Bundesliga,73050000.0,25,9,4,12,31,1.24
FC Schalke 04,Germany,Bundesliga,60450000.0,25,4,9,12,21,0.84
VfL Bochum,Germany,Bundesliga,46630000.0,25,8,1,16,25,1.00
