Club,Country,League,Market Value,PL,W,D,L,Pts,Pts_per_match
Ajax Amsterdam,Netherlands,Eredivisie,274200000.0,26,16,7,3,55,2.12
PSV Eindhoven,Netherlands,Eredivisie,201500000.0,26,16,5,5,53,2.04
Feyenoord Rotterdam,Netherlands,Eredivisie,182000000.0,26,18,7,1,61,2.35
AZ Alkmaar,Netherlands,Eredivisie,107450000.0,26,16,5,5,53,2.04
FC Utrecht,Netherlands,Eredivisie,50700000.0,26,10,8,8,38,1.46
Twente Enschede FC,Netherlands,Eredivisie,43830000.0,26,13,8,5,47,1.81
Vitesse Arnhem,Netherlands,Eredivisie,39680000.0,26,5,9,12,24,0.92
SC Heerenveen,Netherlands,Eredivisie,36200000.0,26,9,7,10,34,1.31
FC Groningen,Netherlands,Eredivisie,34150000.0,26,4,5,17,17,0.65
Fortuna Sittard,Netherlands,Eredivisie,22330000.0,26,8,5,13,29,1.12
NEC Nijmegen,Netherlands,Eredivisie,21680000.0,26,7,13,6,34,1.31
Sparta Rotterdam,Netherlands,Eredivisie,18130000.0,26,13,7,6,46,1.77
SC Cambuur Leeuwarden,Netherlands,Eredivisie,16730000.0,26,4,4,18,16,0.62
Excelsior Rotterdam,Netherlands,Eredivisie,14680000.0,26,7,2,17,23,0.88
FC Volendam,Netherlands,Eredivisie,14230000.0,26,7,5,14,26,1.00
FC Emmen,Netherlands,Eredivisie,13980000.0,26,4,9,13,21,0.81
RKC Waalwijk,Netherlands,Eredivisie,13680000.0,25,8,8,9,32,1.28
Go Ahead Eagles,Netherlands,Eredivisie,12630000.0,25,7,8,10,29,1.16
