Club,Country,League,Market Value,PL,W,D,L,Pts,Pts_per_match
Club Brugge KV,Belgium,Jupiler Pro League,156700000.0,30,13,10,7,49,1.63
KRC Genk,Belgium,Jupiler Pro League,122350000.0,30,21,5,4,68,2.27
Royal Antwerp FC,Belgium,Jupiler Pro League,91450000.0,30,18,6,6,60,2.00
KAA Gent,Belgium,Jupiler Pro League,73650000.0,30,15,6,9,51,1.70
RSC Anderlecht,Belgium,Jupiler Pro League,73200000.0,30,12,6,12,42,1.40
Royale Union Saint Gilloise,Belgium,Jupiler Pro League,49650000.0,30,20,5,5,65,2.17
Standard Liège,Belgium,Jupiler Pro League,43300000.0,30,13,7,10,46,1.53
RSC Charleroi,Belgium,Jupiler Pro League,38000000.0,29,12,5,12,41,1.41
Cercle Brugge ,Belgium,Jupiler Pro League,33500000.0,30,10,11,9,41,1.37
Oud-Heverlee Leuven,Belgium,Jupiler Pro League,29850000.0,30,10,9,11,39,1.30
KVC Westerlo,Belgium,Jupiler Pro League,28050000.0,30,14,6,10,48,1.60
KV Mechelen,Belgium,Jupiler Pro League,25680000.0,29,9,6,14,33,1.14
KV Oostende,Belgium,Jupiler Pro League,22150000.0,30,6,6,18,24,0.80
KV Kortrijk,Belgium,Jupiler Pro League,20430000.0,30,8,6,16,30,1.00
KAS Eupen,Belgium,Jupiler Pro League,18100000.0,30,7,6,17,27,0.90
SV Zulte Waregem,Belgium,Jupiler Pro League,15500000.0,30,5,9,16,24,0.80
Sint-Truidense VV,Belgium,Jupiler Pro League,14900000.0,30,10,9,11,39,1.30
RFC Seraing,Belgium,Jupiler Pro League,12780000.0,30,5,4,21,19,0.63
