Club,Country,League,Market Value,PL,W,D,L,Pts,Pts_per_match
SSC Napoli,Italy,Serie A,629000000.0,27,23,2,2,71,2.63
AC Milan,Italy,Serie A,547250000.0,27,14,6,7,48,1.78
Inter Milan,Italy,Serie A,534450000.00000006,27,16,2,9,50,1.85
Juventus FC,Italy,Serie A,420700000.0,27,17,5,5,56,2.07
Atalanta BC,Italy,Serie A,329500000.0,27,13,6,8,45,1.67
AS Roma,Italy,Serie A,317150000.0,27,14,5,8,47,1.74
SS Lazio,Italy,Serie A,274900000.0,27,15,7,5,52,1.93
ACF Fiorentina,Italy,Serie A,236300000.0,27,10,7,10,37,1.37
US Sassuolo,Italy,Serie A,171400000.0,27,10,6,11,36,1.33
Torino FC,Italy,Serie A,169530000.0,27,10,7,10,37,1.37
Udinese Calcio,Italy,Serie A,143050000.0,27,9,11,7,38,1.41
Bologna FC 1909,Italy,Serie A,135700000.0,27,10,7,10,37,1.37
AC Monza,Italy,Serie A,114700000.0,27,9,7,11,34,1.26
FC Empoli,Italy,Serie A,103300000.0,27,6,10,11,28,1.04
US Salernitana 1919,Italy,Serie A,99680000.0,27,6,9,12,27,1.00
US Lecce,Italy,Serie A,94130000.0,27,6,9,12,27,1.00
Spezia Calcio,Italy,Serie A,86300000.0,27,5,9,13,24,0.89
Hellas Verona,Italy,Serie A,84850000.0,27,4,7,16,19,0.70
UC Sampdoria,Italy,Serie A,71450000.0,27,3,6,18,15,0.56
US Cremonese,Italy,Serie A,64900000.00000001,27,1,10,16,13,0.48
